id,nr_playlist,composer,composition,voices,experiment,performer,Album,year_recording,,audio_final,symbolic_is_audio,instrumentation,instrumentation_category,final_safe,not repeated,repetitions,comments,symbolic,audio,mf0,basicpitch,multipitch_214c,multipitch_195f,MT3
38,62,Busnois,0062 Bus3053 Resjois toy terre de France | Rex pacificus,4,CANTO_JRP,"Antoine Busnois, Orlando Consort",,2005,,53,y,v,vocal,y,y,,,0062 Bus3053 Resjois toy terre de France | Rex pacificus.musicxml,0062 Bus3053 Resjois toy terre de France | Rex pacificus.wav,0062 Bus3053 Resjois toy terre de France | Rex pacificus.csv,0062 Bus3053 Resjois toy terre de France | Rex pacificus.csv,0062 Bus3053 Resjois toy terre de France | Rex pacificus.csv,0062 Bus3053 Resjois toy terre de France | Rex pacificus.csv,0062 Bus3053 Resjois toy terre de France | Rex pacificus.mid
39,63,Busnois,0063 Bus3054 Seule a par moy,3,CANTO_JRP,"Antoine Busnois, Ensemble Roger Blanchard",,1960,,55,a,vii,mixed,y,n,,"stem, hobo, fagot, veel ficta, veel vibrato, oude uitvoering",0063 Bus3054 Seule a par moy.musicxml,0063 Bus3054 Seule a par moy.wav,0063 Bus3054 Seule a par moy.csv,0063 Bus3054 Seule a par moy.csv,0063 Bus3054 Seule a par moy.csv,0063 Bus3054 Seule a par moy.csv,0063 Bus3054 Seule a par moy.mid
40,64,Busnois,0064 Bus3056 Terrible dame,4,CANTO_JRP,"Antoine Busnois, La Nef",,2023,,46,y,v,vocal,y,y,,,0064 Bus3056 Terrible dame.musicxml,0064 Bus3056 Terrible dame.wav,0064 Bus3056 Terrible dame.csv,0064 Bus3056 Terrible dame.csv,0064 Bus3056 Terrible dame.csv,0064 Bus3056 Terrible dame.csv,0064 Bus3056 Terrible dame.mid
41,65,Busnois,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura,4,CANTO_JRP,"Jean Japart, Les Flamboyants, Michael Form",,2012,,56,a,ivi,mixed,y,y,herhalingen,"blokfluit, stem, gamba, luit, versieringen",0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.musicxml,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.wav,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.csv,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.csv,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.csv,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.csv,0065 Bus3064 Armours fait moult tant | Il est de bonne heure ne | Tant que nostre argent dura.mid
42,66,Busnois,0066 Bus3069 Jay pris amours,4,CANTO_JRP,"Antoine Busnois, Les Flamboyants, Michael Form",,2012,,51,y,iii,instrumental,y,y,,"blokfluit, gamba’s",0066 Bus3069 Jay pris amours.musicxml,0066 Bus3069 Jay pris amours.wav,0066 Bus3069 Jay pris amours.csv,0066 Bus3069 Jay pris amours.csv,0066 Bus3069 Jay pris amours.csv,0066 Bus3069 Jay pris amours.csv,
44,68,Compère,0068 Com3001 Alons fere nos barbes,4,CANTO_JRP,,,2011,,65,y,i,instrumental,y,y,,,0068 Com3001 Alons fere nos barbes.musicxml,0068 Com3001 Alons fere nos barbes.wav,0068 Com3001 Alons fere nos barbes.csv,0068 Com3001 Alons fere nos barbes.csv,0068 Com3001 Alons fere nos barbes.csv,0068 Com3001 Alons fere nos barbes.csv,0068 Com3001 Alons fere nos barbes.mid
45,69,Compère,0069 Com3028 Nous sommes de lordre de Saint Babouin,4,CANTO_JRP,,,1994,,42,a,v,vocal,y,y,herhalingen,,0069 Com3028 Nous sommes de lordre de Saint Babouin.musicxml,0069 Com3028 Nous sommes de lordre de Saint Babouin.wav,0069 Com3028 Nous sommes de lordre de Saint Babouin.csv,0069 Com3028 Nous sommes de lordre de Saint Babouin.csv,0069 Com3028 Nous sommes de lordre de Saint Babouin.csv,0069 Com3028 Nous sommes de lordre de Saint Babouin.csv,
46,70,Compère,0070 Com3044 Va ten regret celuy qui me convoye,3,CANTO_JRP,,,2006,,53,a,vi,mixed,y,n,herhalingen,verdubbeld/vervangen door blokfluit en luit,0070 Com3044 Va ten regret celuy qui me convoye.musicxml,0070 Com3044 Va ten regret celuy qui me convoye.wav,0070 Com3044 Va ten regret celuy qui me convoye.csv,0070 Com3044 Va ten regret celuy qui me convoye.csv,0070 Com3044 Va ten regret celuy qui me convoye.csv,0070 Com3044 Va ten regret celuy qui me convoye.csv,
47,71,Compère,0071 Com3046 Vive le noble roy de France,3,CANTO_JRP,,,2002,,53,a,vi,mixed,y,n,herhalingen,"met trom, zink, gamba. Niet bij elke herhaling wordt elke stem gespeeld",0071 Com3046 Vive le noble roy de France.musicxml,0071 Com3046 Vive le noble roy de France.wav,0071 Com3046 Vive le noble roy de France.csv,0071 Com3046 Vive le noble roy de France.csv,0071 Com3046 Vive le noble roy de France.csv,0071 Com3046 Vive le noble roy de France.csv,0071 Com3046 Vive le noble roy de France.mid
48,72,Compère,0072 Com3048 Vostre bargeronette mamiette,4,CANTO_JRP,,,1957,,57,y,vi,mixed,y,y,,"blokfluiten, luit, dulciaan? Vervangen stemmen anders dan de superius",0072 Com3048 Vostre bargeronette mamiette.musicxml,0072 Com3048 Vostre bargeronette mamiette.wav,0072 Com3048 Vostre bargeronette mamiette.csv,0072 Com3048 Vostre bargeronette mamiette.csv,0072 Com3048 Vostre bargeronette mamiette.csv,0072 Com3048 Vostre bargeronette mamiette.csv,0072 Com3048 Vostre bargeronette mamiette.mid
49,73,Compère,0073 Com3052 Scaramella fa la galla,4,CANTO_JRP,,,2021,,68,a,vi,mixed,y,y,herhalingen,tenor en blokfluitkwartet herhaling sterk versierd door blokfluit,0073 Com3052 Scaramella fa la galla.musicxml,0073 Com3052 Scaramella fa la galla.wav,0073 Com3052 Scaramella fa la galla.csv,0073 Com3052 Scaramella fa la galla.csv,0073 Com3052 Scaramella fa la galla.csv,0073 Com3052 Scaramella fa la galla.csv,
50,74,Daser,0074 Das1002a Missa Preter rerum - Kyrie,6,CANTO_JRP,"Ludwig Daser, Huelgas Ensemble, Paul Van Nevel",,2023,,43,y,v,vocal,y,y,,,0074 Das1002a Missa Preter rerum - Kyrie.musicxml,0074 Das1002a Missa Preter rerum - Kyrie.wav,0074 Das1002a Missa Preter rerum - Kyrie.csv,0074 Das1002a Missa Preter rerum - Kyrie.csv,0074 Das1002a Missa Preter rerum - Kyrie.csv,0074 Das1002a Missa Preter rerum - Kyrie.csv,
51,75,Daser,0075 Das1002b Missa Preter rerum - Gloria,6,CANTO_JRP,"Ludwig Daser, Huelgas Ensemble, Paul Van Nevel",,2023,,43,y,v,vocal,y,y,,,0075 Das1002b Missa Preter rerum - Gloria.musicxml,0075 Das1002b Missa Preter rerum - Gloria.wav,0075 Das1002b Missa Preter rerum - Gloria.csv,0075 Das1002b Missa Preter rerum - Gloria.csv,0075 Das1002b Missa Preter rerum - Gloria.csv,0075 Das1002b Missa Preter rerum - Gloria.csv,
52,76,Daser,0076 Das1002c Missa Preter rerum - Credo,6,CANTO_JRP,"Ludwig Daser, Huelgas Ensemble, Paul Van Nevel",,2023,,43,y,v,vocal,y,y,,,0076 Das1002c Missa Preter rerum - Credo.musicxml,0076 Das1002c Missa Preter rerum - Credo.wav,0076 Das1002c Missa Preter rerum - Credo.csv,0076 Das1002c Missa Preter rerum - Credo.csv,0076 Das1002c Missa Preter rerum - Credo.csv,0076 Das1002c Missa Preter rerum - Credo.csv,
53,77,Daser,0077 Das1002d Missa Preter rerum - Sanctus,6,CANTO_JRP,"Ludwig Daser, Huelgas Ensemble, Paul Van Nevel",,2023,,43,a,v,vocal,y,y,hosanna II = hosanna I,,0077 Das1002d Missa Preter rerum - Sanctus.musicxml,0077 Das1002d Missa Preter rerum - Sanctus.wav,0077 Das1002d Missa Preter rerum - Sanctus.csv,0077 Das1002d Missa Preter rerum - Sanctus.csv,0077 Das1002d Missa Preter rerum - Sanctus.csv,0077 Das1002d Missa Preter rerum - Sanctus.csv,
54,78,Daser,0078 Das1002e Missa Preter rerum - Agnus,6,CANTO_JRP,"Ludwig Daser, Huelgas Ensemble, Paul Van Nevel",,2023,,43,a,v,vocal,y,y,integraal herhaald,,0078 Das1002e Missa Preter rerum - Agnus.musicxml,0078 Das1002e Missa Preter rerum - Agnus.wav,0078 Das1002e Missa Preter rerum - Agnus.csv,0078 Das1002e Missa Preter rerum - Agnus.csv,0078 Das1002e Missa Preter rerum - Agnus.csv,0078 Das1002e Missa Preter rerum - Agnus.csv,
55,79,Dufay,0079 Duf1002a Missa Ave regina celorum - Kyrie,4,CANTO_JRP,"Guillaume Dufay, Diabolus in Musica, Antoine Guerber",,2021,,46,y,v,vocal,y,y,,,0079 Duf1002a Missa Ave regina celorum - Kyrie.musicxml,0079 Duf1002a Missa Ave regina celorum - Kyrie.wav,0079 Duf1002a Missa Ave regina celorum - Kyrie.csv,0079 Duf1002a Missa Ave regina celorum - Kyrie.csv,0079 Duf1002a Missa Ave regina celorum - Kyrie.csv,0079 Duf1002a Missa Ave regina celorum - Kyrie.csv,
56,80,Dufay,0080 Duf1002b Missa Ave regina celorum - Gloria,4,CANTO_JRP,"Guillaume Dufay, Diabolus in Musica, Antoine Guerber",,2021,,46,y,v,vocal,y,y,,,0080 Duf1002b Missa Ave regina celorum - Gloria.musicxml,0080 Duf1002b Missa Ave regina celorum - Gloria.wav,0080 Duf1002b Missa Ave regina celorum - Gloria.csv,0080 Duf1002b Missa Ave regina celorum - Gloria.csv,0080 Duf1002b Missa Ave regina celorum - Gloria.csv,0080 Duf1002b Missa Ave regina celorum - Gloria.csv,
57,81,Dufay,0081 Duf1002c Missa Ave regina celorum - Credo,4,CANTO_JRP,"Guillaume Dufay, Diabolus in Musica, Antoine Guerber",,2021,,46,y,v,vocal,y,y,,,0081 Duf1002c Missa Ave regina celorum - Credo.musicxml,0081 Duf1002c Missa Ave regina celorum - Credo.wav,0081 Duf1002c Missa Ave regina celorum - Credo.csv,0081 Duf1002c Missa Ave regina celorum - Credo.csv,0081 Duf1002c Missa Ave regina celorum - Credo.csv,0081 Duf1002c Missa Ave regina celorum - Credo.csv,
58,82,Dufay,0082 Duf1002d Missa Ave regina celorum - Sanctus,4,CANTO_JRP,"Guillaume Dufay, Diabolus in Musica, Antoine Guerber",,2021,,46,y,v,vocal,y,y,,,0082 Duf1002d Missa Ave regina celorum - Sanctus.musicxml,0082 Duf1002d Missa Ave regina celorum - Sanctus.wav,0082 Duf1002d Missa Ave regina celorum - Sanctus.csv,0082 Duf1002d Missa Ave regina celorum - Sanctus.csv,0082 Duf1002d Missa Ave regina celorum - Sanctus.csv,0082 Duf1002d Missa Ave regina celorum - Sanctus.csv,
