id,nr_playlist,composer,composition,voices,experiment,performer,Album,year_recording,,audio_final,symbolic_is_audio,instrumentation,instrumentation_category,final_safe,not repeated,repetitions,comments,symbolic,audio,mf0,basicpitch,multipitch_214c,multipitch_195f,MT3
149,0218-0229,Josquin,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,46,y,v,vocal,y,y,,,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.musicxml,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.wav,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.csv,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.csv,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.csv,0218-0229 Jos0602c Missa Lhomme arme sexti toni - Credo.csv,
150,0230-0234,Josquin,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,46,a,v,vocal,pcp,y,hosanna II = hosanna I,,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.musicxml,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.wav,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.csv,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.csv,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.csv,0230-0234 Jos0602d Missa Lhomme arme sexti toni - Sanctus.csv,
151,0235-0237,Josquin,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus,6,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,46,y,v,vocal,y,y,,,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.musicxml,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.wav,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.csv,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.csv,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.csv,0235-0237 Jos0602e Missa Lhomme arme sexti toni - Agnus.csv,
152,0238-0240,Josquin,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,52,y,v,vocal,y,y,,,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.musicxml,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.wav,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.csv,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.csv,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.csv,0238-0240 Jos0603a Missa Lhomme arme super voces musicales - Kyrie.csv,
153,0241-0248,Josquin,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,52,y,v,vocal,y,y,,,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.musicxml,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.wav,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.csv,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.csv,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.csv,0241-0248 Jos0603b Missa Lhomme arme super voces musicales - Gloria.csv,
154,0249-0259,Josquin,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,52,y,v,vocal,y,y,,,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.musicxml,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.wav,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.csv,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.csv,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.csv,0249-0259 Jos0603c Missa Lhomme arme super voces musicales - Credo.csv,
155,0260-0266,Josquin,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,52,a,v,vocal,pcp,y,hosanna II = hosanna I,,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.musicxml,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.wav,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.csv,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.csv,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.csv,0260-0266 Jos0603d Missa Lhomme arme super voces musicales - Sanctus.csv,
156,0267-0269,Josquin,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1989,,52,y,v,vocal,y,y,,,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.musicxml,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.wav,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.csv,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.csv,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.csv,0267-0269 Jos0603e Missa Lhomme arme super voces musicales - Agnus.csv,
157,0270-0272,Josquin,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.musicxml,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.wav,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.csv,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.csv,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.csv,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.csv,0270-0272 Jos0703a Missa Dung aultre amer - Kyrie.mid
158,273,Josquin,0273 Jos0703b Missa Dung aultre amer - Gloria,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0273 Jos0703b Missa Dung aultre amer - Gloria.musicxml,0273 Jos0703b Missa Dung aultre amer - Gloria.wav,0273 Jos0703b Missa Dung aultre amer - Gloria.csv,0273 Jos0703b Missa Dung aultre amer - Gloria.csv,0273 Jos0703b Missa Dung aultre amer - Gloria.csv,0273 Jos0703b Missa Dung aultre amer - Gloria.csv,0273 Jos0703b Missa Dung aultre amer - Gloria.mid
159,0274-0275,Josquin,0274-0275 Jos0703c Missa Dung aultre amer - Credo,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0274-0275 Jos0703c Missa Dung aultre amer - Credo.musicxml,0274-0275 Jos0703c Missa Dung aultre amer - Credo.wav,0274-0275 Jos0703c Missa Dung aultre amer - Credo.csv,0274-0275 Jos0703c Missa Dung aultre amer - Credo.csv,0274-0275 Jos0703c Missa Dung aultre amer - Credo.csv,0274-0275 Jos0703c Missa Dung aultre amer - Credo.csv,
160,276,Josquin,0276 Jos0703d Missa Dung aultre amer - Sanctus,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,a,v,vocal,y,y,hosanna II = hosanna I,,0276 Jos0703d Missa Dung aultre amer - Sanctus.musicxml,0276 Jos0703d Missa Dung aultre amer - Sanctus.wav,0276 Jos0703d Missa Dung aultre amer - Sanctus.csv,0276 Jos0703d Missa Dung aultre amer - Sanctus.csv,0276 Jos0703d Missa Dung aultre amer - Sanctus.csv,0276 Jos0703d Missa Dung aultre amer - Sanctus.csv,0276 Jos0703d Missa Dung aultre amer - Sanctus.mid
161,0282-0284,Josquin,0282-0284 Jos0703e Missa Dung aultre amer - Agnus,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.musicxml,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.wav,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.csv,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.csv,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.csv,0282-0284 Jos0703e Missa Dung aultre amer - Agnus.csv,
162,0285-0287,Josquin,0285-0287 Jos0801a Missa Faisant regretz - Kyrie,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.musicxml,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.wav,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.csv,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.csv,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.csv,0285-0287 Jos0801a Missa Faisant regretz - Kyrie.csv,
163,0288-0289,Josquin,0288-0289 Jos0801b Missa Faisant regretz - Gloria,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0288-0289 Jos0801b Missa Faisant regretz - Gloria.musicxml,0288-0289 Jos0801b Missa Faisant regretz - Gloria.wav,0288-0289 Jos0801b Missa Faisant regretz - Gloria.csv,0288-0289 Jos0801b Missa Faisant regretz - Gloria.csv,0288-0289 Jos0801b Missa Faisant regretz - Gloria.csv,0288-0289 Jos0801b Missa Faisant regretz - Gloria.csv,
164,0290-0292,Josquin,0290-0292 Jos0801c Missa Faisant regretz - Credo,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0290-0292 Jos0801c Missa Faisant regretz - Credo.musicxml,0290-0292 Jos0801c Missa Faisant regretz - Credo.wav,0290-0292 Jos0801c Missa Faisant regretz - Credo.csv,0290-0292 Jos0801c Missa Faisant regretz - Credo.csv,0290-0292 Jos0801c Missa Faisant regretz - Credo.csv,0290-0292 Jos0801c Missa Faisant regretz - Credo.csv,
165,0293-0297,Josquin,0293-0297 Jos0801d Missa Faisant regretz - Sanctus,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,a,v,vocal,y,y,hosanna II = hosanna I,,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.musicxml,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.wav,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.csv,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.csv,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.csv,0293-0297 Jos0801d Missa Faisant regretz - Sanctus.csv,
166,0298-0300,Josquin,0298-0300 Jos0801e Missa Faisant regretz - Agnus,4,CANTO_JRP,"Josquin des Prez, The Tallis Scholars, Peter Phillips",,2020,,43,y,v,vocal,y,y,,,0298-0300 Jos0801e Missa Faisant regretz - Agnus.musicxml,0298-0300 Jos0801e Missa Faisant regretz - Agnus.wav,0298-0300 Jos0801e Missa Faisant regretz - Agnus.csv,0298-0300 Jos0801e Missa Faisant regretz - Agnus.csv,0298-0300 Jos0801e Missa Faisant regretz - Agnus.csv,0298-0300 Jos0801e Missa Faisant regretz - Agnus.csv,
167,0301-0303,Josquin,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,39,y,v,vocal,y,y,,,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.musicxml,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.wav,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.csv,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.csv,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.csv,0301-0303 Jos0802a Missa Fortuna desperata - Kyrie.csv,
168,0304-0307,Josquin,0304-0307 Jos0802b Missa Fortuna desperata - Gloria,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,51,y,v,vocal,y,y,,,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.musicxml,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.wav,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.csv,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.csv,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.csv,0304-0307 Jos0802b Missa Fortuna desperata - Gloria.csv,
169,0308-0311,Josquin,0308-0311 Jos0802c Missa Fortuna desperata - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,51,y,v,vocal,y,y,,,0308-0311 Jos0802c Missa Fortuna desperata - Credo.musicxml,0308-0311 Jos0802c Missa Fortuna desperata - Credo.wav,0308-0311 Jos0802c Missa Fortuna desperata - Credo.csv,0308-0311 Jos0802c Missa Fortuna desperata - Credo.csv,0308-0311 Jos0802c Missa Fortuna desperata - Credo.csv,0308-0311 Jos0802c Missa Fortuna desperata - Credo.csv,
170,0312-0317,Josquin,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,51,a,v,vocal,y,y,hosanna II = hosanna I,,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.musicxml,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.wav,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.csv,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.csv,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.csv,0312-0317 Jos0802d Missa Fortuna desperata - Sanctus.csv,
171,0318-0319,Josquin,0318-0319 Jos0802e Missa Fortuna desperata - Agnus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,39,y,v,vocal,y,y,,,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.musicxml,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.wav,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.csv,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.csv,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.csv,0318-0319 Jos0802e Missa Fortuna desperata - Agnus.csv,
172,0320-0322,Agricola,0320-0322 Agr1004a Missa Malheur me bat - Kyrie,4,CANTO_JRP,"Alexander Agricola, A:N:S Chorus, Janos Bali",,2014,,40,y,v,vocal,y,y,,,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.musicxml,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.wav,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.csv,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.csv,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.csv,0320-0322 Agr1004a Missa Malheur me bat - Kyrie.csv,
173,0323-0324,Agricola,0323-0324 Agr1004b Missa Malheur me bat - Gloria,4,CANTO_JRP,"Alexander Agricola, A:N:S Chorus, Janos Bali",,2014,,40,y,v,vocal,y,y,,,0323-0324 Agr1004b Missa Malheur me bat - Gloria.musicxml,0323-0324 Agr1004b Missa Malheur me bat - Gloria.wav,0323-0324 Agr1004b Missa Malheur me bat - Gloria.csv,0323-0324 Agr1004b Missa Malheur me bat - Gloria.csv,0323-0324 Agr1004b Missa Malheur me bat - Gloria.csv,0323-0324 Agr1004b Missa Malheur me bat - Gloria.csv,
174,0325-0328,Agricola,0325-0328 Agr1004c Missa Malheur me bat - Credo,4,CANTO_JRP,"Alexander Agricola, A:N:S Chorus, Janos Bali",,2014,,40,y,v,vocal,y,y,,,0325-0328 Agr1004c Missa Malheur me bat - Credo.musicxml,0325-0328 Agr1004c Missa Malheur me bat - Credo.wav,0325-0328 Agr1004c Missa Malheur me bat - Credo.csv,0325-0328 Agr1004c Missa Malheur me bat - Credo.csv,0325-0328 Agr1004c Missa Malheur me bat - Credo.csv,0325-0328 Agr1004c Missa Malheur me bat - Credo.csv,
175,0329-0333,Agricola,0329-0333 Agr1004d Missa Malheur me bat - Sanctus,4,CANTO_JRP,"Alexander Agricola, A:N:S Chorus, Janos Bali",,2014,,40,a,v,vocal,pcp,y,hosanna II = hosanna I,,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.musicxml,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.wav,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.csv,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.csv,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.csv,0329-0333 Agr1004d Missa Malheur me bat - Sanctus.csv,
176,0334-0336,Agricola,0334-0336 Agr1004e Missa Malheur me bat - Agnus,4,CANTO_JRP,"Alexander Agricola, A:N:S Chorus, Janos Bali",,2014,,40,y,v,vocal,y,y,,,0334-0336 Agr1004e Missa Malheur me bat - Agnus.musicxml,0334-0336 Agr1004e Missa Malheur me bat - Agnus.wav,0334-0336 Agr1004e Missa Malheur me bat - Agnus.csv,0334-0336 Agr1004e Missa Malheur me bat - Agnus.csv,0334-0336 Agr1004e Missa Malheur me bat - Agnus.csv,0334-0336 Agr1004e Missa Malheur me bat - Agnus.csv,
177,0337-0339,Josquin,0337-0339 Jos1001a Missa Mater patris - Kyrie,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2019,,43,y,v,vocal,y,y,,,0337-0339 Jos1001a Missa Mater patris - Kyrie.musicxml,0337-0339 Jos1001a Missa Mater patris - Kyrie.wav,0337-0339 Jos1001a Missa Mater patris - Kyrie.csv,0337-0339 Jos1001a Missa Mater patris - Kyrie.csv,0337-0339 Jos1001a Missa Mater patris - Kyrie.csv,0337-0339 Jos1001a Missa Mater patris - Kyrie.csv,
178,0340-0342,Josquin,0340-0342 Jos1001b Missa Mater patris - Gloria,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2019,,43,y,v,vocal,y,y,,,0340-0342 Jos1001b Missa Mater patris - Gloria.musicxml,0340-0342 Jos1001b Missa Mater patris - Gloria.wav,0340-0342 Jos1001b Missa Mater patris - Gloria.csv,0340-0342 Jos1001b Missa Mater patris - Gloria.csv,0340-0342 Jos1001b Missa Mater patris - Gloria.csv,0340-0342 Jos1001b Missa Mater patris - Gloria.csv,
179,0343-0345,Josquin,0343-0345 Jos1001c Missa Mater patris - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2019,,43,y,v,vocal,y,y,,,0343-0345 Jos1001c Missa Mater patris - Credo.musicxml,0343-0345 Jos1001c Missa Mater patris - Credo.wav,0343-0345 Jos1001c Missa Mater patris - Credo.csv,0343-0345 Jos1001c Missa Mater patris - Credo.csv,0343-0345 Jos1001c Missa Mater patris - Credo.csv,0343-0345 Jos1001c Missa Mater patris - Credo.csv,
180,0346-0350,Josquin,0346-0350 Jos1001d Missa Mater patris - Sanctus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2019,,43,a,v,vocal,pcp,y,hosanna II = hosanna I,,0346-0350 Jos1001d Missa Mater patris - Sanctus.musicxml,0346-0350 Jos1001d Missa Mater patris - Sanctus.wav,0346-0350 Jos1001d Missa Mater patris - Sanctus.csv,0346-0350 Jos1001d Missa Mater patris - Sanctus.csv,0346-0350 Jos1001d Missa Mater patris - Sanctus.csv,0346-0350 Jos1001d Missa Mater patris - Sanctus.csv,
181,0351-0353,Josquin,0351-0353 Jos1001e Missa Mater patris - Agnus,5,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2019,,43,y,v,vocal,y,y,,,0351-0353 Jos1001e Missa Mater patris - Agnus.musicxml,0351-0353 Jos1001e Missa Mater patris - Agnus.wav,0351-0353 Jos1001e Missa Mater patris - Agnus.csv,0351-0353 Jos1001e Missa Mater patris - Agnus.csv,0351-0353 Jos1001e Missa Mater patris - Agnus.csv,0351-0353 Jos1001e Missa Mater patris - Agnus.csv,
182,355,Josquin,0355 Jos1003a Missa Quem dicunt homines - Kyrie,4,CANTO_JRP,"Josquin des Prez, Apollo5, Ingenium Ensemble",,2018,,47,y,v,vocal,y,y,,,0355 Jos1003a Missa Quem dicunt homines - Kyrie.musicxml,0355 Jos1003a Missa Quem dicunt homines - Kyrie.wav,0355 Jos1003a Missa Quem dicunt homines - Kyrie.csv,0355 Jos1003a Missa Quem dicunt homines - Kyrie.csv,0355 Jos1003a Missa Quem dicunt homines - Kyrie.csv,0355 Jos1003a Missa Quem dicunt homines - Kyrie.csv,
183,356,Josquin,0356 Jos1003b Missa Quem dicunt homines - Gloria,4,CANTO_JRP,"Josquin des Prez, Apollo5, Ingenium Ensemble",,2018,,47,y,v,vocal,y,y,,,0356 Jos1003b Missa Quem dicunt homines - Gloria.musicxml,0356 Jos1003b Missa Quem dicunt homines - Gloria.wav,0356 Jos1003b Missa Quem dicunt homines - Gloria.csv,0356 Jos1003b Missa Quem dicunt homines - Gloria.csv,0356 Jos1003b Missa Quem dicunt homines - Gloria.csv,0356 Jos1003b Missa Quem dicunt homines - Gloria.csv,
184,357,Josquin,0357 Jos1003c Missa Quem dicunt homines - Credo,4,CANTO_JRP,"Josquin des Prez, Apollo5, Ingenium Ensemble",,2018,,47,y,v,vocal,y,y,,,0357 Jos1003c Missa Quem dicunt homines - Credo.musicxml,0357 Jos1003c Missa Quem dicunt homines - Credo.wav,0357 Jos1003c Missa Quem dicunt homines - Credo.csv,0357 Jos1003c Missa Quem dicunt homines - Credo.csv,0357 Jos1003c Missa Quem dicunt homines - Credo.csv,0357 Jos1003c Missa Quem dicunt homines - Credo.csv,
185,0358-0360,Josquin,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus,4,CANTO_JRP,"Josquin des Prez, Apollo5, Ingenium Ensemble",,2018,,47,y,v,vocal,y,y,,,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.musicxml,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.wav,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.csv,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.csv,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.csv,0358-0360 Jos1003d Missa Quem dicunt homines - Sanctus.csv,
186,361,Josquin,0361 Jos1003e Missa Quem dicunt homines - Agnus,5,CANTO_JRP,"Josquin des Prez, Apollo5, Ingenium Ensemble",,2018,,47,y,v,vocal,y,y,,,0361 Jos1003e Missa Quem dicunt homines - Agnus.musicxml,0361 Jos1003e Missa Quem dicunt homines - Agnus.wav,0361 Jos1003e Missa Quem dicunt homines - Agnus.csv,0361 Jos1003e Missa Quem dicunt homines - Agnus.csv,0361 Jos1003e Missa Quem dicunt homines - Agnus.csv,0361 Jos1003e Missa Quem dicunt homines - Agnus.csv,
187,362,Josquin,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie,4,CANTO_JRP,"Josquin des Prez, Odhecaton, Paolo da Col",,2021,,50,y,v,vocal,y,y,,,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.musicxml,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.wav,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.csv,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.csv,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.csv,0362 Jos1101a Missa Hercules dux Ferrarie - Kyrie.csv,
188,363,Josquin,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria,4,CANTO_JRP,"Josquin des Prez, Odhecaton, Paolo da Col",,2021,,50,y,v,vocal,y,y,,,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.musicxml,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.wav,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.csv,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.csv,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.csv,0363 Jos1101b Missa Hercules dux Ferrarie - Gloria.csv,
189,364,Josquin,0364 Jos1101c Missa Hercules dux Ferrarie - Credo,4,CANTO_JRP,"Josquin des Prez, Odhecaton, Paolo da Col",,2021,,50,y,v,vocal,y,y,,,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.musicxml,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.wav,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.csv,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.csv,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.csv,0364 Jos1101c Missa Hercules dux Ferrarie - Credo.csv,
190,365,Josquin,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus,4,CANTO_JRP,"Josquin des Prez, Odhecaton, Paolo da Col",,2021,,50,a,v,vocal,pcp,y,hosanna II = hosanna I,,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.musicxml,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.wav,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.csv,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.csv,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.csv,0365 Jos1101d Missa Hercules dux Ferrarie - Sanctus.csv,
191,366,Josquin,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus,6,CANTO_JRP,"Josquin des Prez, Odhecaton, The Gesualdo Six, La Pifarescha, Paolo da Col",,2021,,38,y,v,vocal,y,y,,,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.musicxml,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.wav,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.csv,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.csv,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.csv,0366 Jos1101e Missa Hercules dux Ferrarie - Agnus.csv,
192,0367-0369,Josquin,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1986,,53,y,v,vocal,y,y,,,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.musicxml,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.wav,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.csv,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.csv,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.csv,0367-0369 Jos1102a Missa La sol fa re mi - Kyrie.csv,
193,0370-0375,Josquin,0370-0375 Jos1102b Missa La sol fa re mi - Gloria,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1986,,53,y,v,vocal,y,y,,,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.musicxml,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.wav,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.csv,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.csv,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.csv,0370-0375 Jos1102b Missa La sol fa re mi - Gloria.csv,
194,0376-0385,Josquin,0376-0385 Jos1102c Missa La sol fa re mi - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,1986,,41,y,v,vocal,y,y,,,0376-0385 Jos1102c Missa La sol fa re mi - Credo.musicxml,0376-0385 Jos1102c Missa La sol fa re mi - Credo.wav,0376-0385 Jos1102c Missa La sol fa re mi - Credo.csv,0376-0385 Jos1102c Missa La sol fa re mi - Credo.csv,0376-0385 Jos1102c Missa La sol fa re mi - Credo.csv,0376-0385 Jos1102c Missa La sol fa re mi - Credo.csv,
